language,       year,  stackoverflow (M), github repos (M), github top stars (K)
R,              1993,  0.5,               0.4,              0.4
C#,             2000,  1.6,               1.7,              0.7 
Java,           1995,  1.8,               5.0,              1.6
C++,            1983,  1.0,               1.2,              0.7
Groovy,         2004,  0.1,               0.1,              0.8
C,              1972,  0.5,               1.5,              1.1
Scala,          2003,  0.2,               0.1,              1.2
Swift,          2014,  0.3,               0.5,              1.6
Lua,            1993,  0.1,               0.1,              0.5
JavaScript,     1995,  2.5,               6.2,              1.7
Kotlin,         2011,  0.1,               0.1,              0.6
Objective-C,    1984,  0.3,               0.4,              1.2
XML,            1996,  0.2,               0.1,              0.5
HTML,           1993,  1.2,               4.4,              0.9
PHP,            1995,  1.8,               1.7,              1.1 
Go,             2009,  0.1,               0.1,              6.6
Python,         1991,  2.1,               3.1,              1.1
Ruby,           1995,  0.2,               1.5,              1.5
