Round 1     [ 8 of Clubs    ,  5 of Clubs    ,  Q of Clubs    ,  5 of Spades   ]
Round 2     [ 9 of Spades   ,  9 of Diamonds ,  9 of Hearts   ,  K of Diamonds ]
Round 3     [ 2 of Hearts   ,  2 of Diamonds ,  6 of Diamonds ,  5 of Hearts   ]
Round 4     [ 7 of Spades   ,  J of Spades   ,  1 of Hearts   ,  9 of Diamonds ]
Round 5     [ 6 of Clubs    ,  7 of Diamonds ,  4 of Hearts   ,  7 of Clubs    ]
Round 6     [ 4 of Hearts   ,  8 of Hearts   ,  1 of Hearts   ,  K of Clubs    ]
Round 7     [ 6 of Spades   ,  9 of Clubs    ,  4 of Diamonds ,  J of Hearts   ]
Round 8     [ 4 of Hearts   ,  8 of Hearts   ,  4 of Clubs    ,  8 of Clubs    ]
Round 9     [ 2 of Diamonds ,  5 of Spades   ,  9 of Diamonds ,  Q of Hearts   ]
Round 10    [ 8 of Clubs    ,  3 of Hearts   ,  8 of Spades   ,  6 of Spades   ]
Round 11    [ 8 of Clubs    ,  5 of Spades   ,  K of Diamonds ,  7 of Clubs    ]
Round 12    [ 9 of Hearts   ,  4 of Diamonds ,  8 of Hearts   ,  J of Hearts   ]
Round 13    [ 1 of Clubs    ,  6 of Spades   ,  J of Diamonds ,  6 of Hearts   ]
Round 14    [ J of Spades   ,  8 of Hearts   ,  5 of Hearts   ,  J of Clubs    ]
Round 15    [ 4 of Clubs    ,  Q of Hearts   ,  3 of Diamonds ,  9 of Hearts   ]
Round 16    [ 5 of Clubs    ,  3 of Hearts   ,  4 of Clubs    ,  6 of Diamonds ]
Round 17    [ 2 of Diamonds ,  2 of Hearts   ,  1 of Diamonds ,  8 of Diamonds ]
Round 18    [ Q of Diamonds ,  1 of Diamonds ,  J of Clubs    ,  A of Clubs    ]
Round 19    [ 2 of Spades   ,  9 of Spades   ,  9 of Hearts   ,  7 of Clubs    ]
Round 20    [ 4 of Spades   ,  A of Diamonds ,  6 of Diamonds ,  9 of Clubs    ]
Round 21    [ 7 of Spades   ,  4 of Diamonds ,  Q of Spades   ,  3 of Hearts   ]
Round 22    [ A of Diamonds ,  2 of Clubs    ,  2 of Diamonds ,  3 of Clubs    ]
Round 23    [ A of Diamonds ,  K of Hearts   ,  3 of Diamonds ,  7 of Hearts   ]
Round 24    [ 8 of Diamonds ,  4 of Diamonds ,  9 of Diamonds ,  3 of Clubs    ]
Round 25    [ J of Diamonds ,  1 of Clubs    ,  7 of Spades   ,  5 of Clubs    ]
Round 26    [ 6 of Spades   ,  7 of Clubs    ,  1 of Spades   ,  Q of Clubs    ]
Round 27    [ 8 of Diamonds ,  8 of Hearts   ,  K of Clubs    ,  Q of Clubs    ]
Round 28    [ J of Diamonds ,  1 of Diamonds ,  1 of Hearts   ,  3 of Clubs    ]
Round 29    [ 6 of Spades   ,  3 of Diamonds ,  1 of Spades   ,  2 of Hearts   ]
Round 30    [ 4 of Diamonds ,  K of Diamonds ,  9 of Spades   ,  8 of Hearts   ]
Round 31    [ J of Clubs    ,  1 of Spades   ,  3 of Spades   ,  J of Diamonds ]
Round 32    [ Q of Clubs    ,  Q of Diamonds ,  K of Diamonds ,  A of Hearts   ]
Round 33    [ 7 of Diamonds ,  9 of Hearts   ,  7 of Clubs    ,  2 of Clubs    ]
Round 34    [ 9 of Diamonds ,  5 of Diamonds ,  3 of Hearts   ,  9 of Spades   ]
Round 35    [ A of Diamonds ,  Q of Diamonds ,  6 of Hearts   ,  5 of Hearts   ]
Round 36    [ 2 of Spades   ,  8 of Hearts   ,  Q of Diamonds ,  8 of Diamonds ]
Round 37    [ Q of Spades   ,  2 of Diamonds ,  7 of Hearts   ,  Q of Clubs    ]
Round 38    [ 2 of Hearts   ,  3 of Hearts   ,  9 of Diamonds ,  Q of Spades   ]
Round 39    [ 2 of Clubs    ,  4 of Clubs    ,  1 of Spades   ,  A of Diamonds ]
Round 40    [ Q of Hearts   ,  9 of Diamonds ,  Q of Clubs    ,  7 of Spades   ]
Round 41    [ 8 of Clubs    ,  7 of Spades   ,  5 of Diamonds ,  3 of Hearts   ]
Round 42    [ 6 of Spades   ,  3 of Spades   ,  J of Spades   ,  1 of Hearts   ]
Round 43    [ 3 of Spades   ,  6 of Spades   ,  9 of Clubs    ,  K of Diamonds ]
Round 44    [ A of Clubs    ,  3 of Hearts   ,  Q of Spades   ,  2 of Diamonds ]
Round 45    [ 6 of Hearts   ,  4 of Hearts   ,  K of Clubs    ,  J of Clubs    ]
Round 46    [ 5 of Hearts   ,  Q of Hearts   ,  7 of Spades   ,  9 of Spades   ]
Round 47    [ A of Hearts   ,  3 of Diamonds ,  4 of Spades   ,  3 of Clubs    ]
Round 48    [ K of Clubs    ,  5 of Spades   ,  1 of Diamonds ,  1 of Clubs    ]
Round 49    [ Q of Diamonds ,  Q of Hearts   ,  K of Hearts   ,  5 of Clubs    ]
Round 50    [ 2 of Spades   ,  Q of Spades   ,  6 of Clubs    ,  8 of Spades   ]
Round 51    [ 2 of Clubs    ,  2 of Spades   ,  8 of Hearts   ,  J of Diamonds ]
Round 52    [ 3 of Hearts   ,  1 of Hearts   ,  9 of Diamonds ,  7 of Hearts   ]
