Round 1     [ 1 of Clubs    ,  8 of Hearts   ,  1 of Hearts   ,  5 of Clubs    ]
Round 2     [ A of Hearts   ,  K of Diamonds ,  7 of Clubs    ,  J of Hearts   ]
Round 3     [ 9 of Diamonds ,  6 of Spades   ,  8 of Hearts   ,  8 of Diamonds ]
Round 4     [ 3 of Spades   ,  2 of Clubs    ,  9 of Diamonds ,  1 of Hearts   ]
Round 5     [ 3 of Clubs    ,  8 of Spades   ,  6 of Spades   ,  5 of Diamonds ]
Round 6     [ A of Clubs    ,  5 of Spades   ,  8 of Spades   ,  1 of Hearts   ]
Round 7     [ 8 of Spades   ,  K of Hearts   ,  A of Spades   ,  7 of Diamonds ]
Round 8     [ 2 of Clubs    ,  1 of Hearts   ,  5 of Spades   ,  3 of Spades   ]
Round 9     [ 3 of Diamonds ,  8 of Hearts   ,  A of Clubs    ,  Q of Diamonds ]
Round 10    [ K of Diamonds ,  4 of Diamonds ,  K of Hearts   ,  3 of Clubs    ]
Round 11    [ 2 of Hearts   ,  K of Clubs    ,  Q of Clubs    ,  5 of Spades   ]
Round 12    [ A of Diamonds ,  A of Spades   ,  4 of Spades   ,  K of Hearts   ]
Round 13    [ 7 of Diamonds ,  1 of Spades   ,  1 of Hearts   ,  7 of Clubs    ]
Round 14    [ 4 of Clubs    ,  A of Spades   ,  6 of Diamonds ,  7 of Hearts   ]
Round 15    [ 2 of Spades   ,  A of Clubs    ,  A of Spades   ,  J of Hearts   ]
Round 16    [ 4 of Hearts   ,  8 of Hearts   ,  7 of Diamonds ,  J of Spades   ]
Round 17    [ 1 of Hearts   ,  Q of Spades   ,  5 of Diamonds ,  K of Diamonds ]
Round 18    [ K of Hearts   ,  3 of Spades   ,  8 of Spades   ,  4 of Hearts   ]
Round 19    [ 1 of Clubs    ,  Q of Spades   ,  8 of Diamonds ,  5 of Diamonds ]
Round 20    [ 5 of Spades   ,  2 of Clubs    ,  A of Spades   ,  8 of Hearts   ]
Round 21    [ 1 of Spades   ,  4 of Diamonds ,  5 of Clubs    ,  2 of Hearts   ]
Round 22    [ J of Diamonds ,  J of Clubs    ,  5 of Hearts   ,  8 of Hearts   ]
Round 23    [ 8 of Spades   ,  Q of Spades   ,  1 of Spades   ,  K of Hearts   ]
Round 24    [ 4 of Diamonds ,  A of Hearts   ,  A of Spades   ,  7 of Diamonds ]
Round 25    [ A of Clubs    ,  3 of Clubs    ,  1 of Diamonds ,  9 of Hearts   ]
Round 26    [ 1 of Clubs    ,  3 of Diamonds ,  4 of Hearts   ,  Q of Hearts   ]
Round 27    [ 7 of Diamonds ,  J of Diamonds ,  J of Hearts   ,  9 of Clubs    ]
Round 28    [ 9 of Clubs    ,  1 of Spades   ,  8 of Clubs    ,  3 of Diamonds ]
Round 29    [ 9 of Diamonds ,  3 of Hearts   ,  3 of Clubs    ,  1 of Diamonds ]
Round 30    [ 7 of Hearts   ,  9 of Hearts   ,  3 of Diamonds ,  6 of Clubs    ]
Round 31    [ 5 of Diamonds ,  4 of Spades   ,  8 of Diamonds ,  9 of Diamonds ]
Round 32    [ Q of Clubs    ,  1 of Diamonds ,  K of Hearts   ,  Q of Spades   ]
Round 33    [ 1 of Hearts   ,  7 of Diamonds ,  J of Clubs    ,  K of Clubs    ]
Round 34    [ 5 of Spades   ,  J of Diamonds ,  3 of Clubs    ,  6 of Hearts   ]
Round 35    [ 7 of Diamonds ,  8 of Hearts   ,  8 of Diamonds ,  2 of Clubs    ]
Round 36    [ 2 of Spades   ,  7 of Clubs    ,  2 of Diamonds ,  6 of Spades   ]
Round 37    [ 7 of Hearts   ,  A of Diamonds ,  8 of Hearts   ,  6 of Clubs    ]
Round 38    [ K of Hearts   ,  A of Diamonds ,  Q of Diamonds ,  A of Clubs    ]
Round 39    [ Q of Clubs    ,  2 of Spades   ,  2 of Hearts   ,  9 of Clubs    ]
Round 40    [ 9 of Hearts   ,  3 of Diamonds ,  A of Hearts   ,  3 of Clubs    ]
Round 41    [ A of Hearts   ,  J of Clubs    ,  J of Diamonds ,  5 of Hearts   ]
Round 42    [ 8 of Hearts   ,  Q of Spades   ,  6 of Spades   ,  4 of Diamonds ]
Round 43    [ 9 of Clubs    ,  3 of Diamonds ,  2 of Spades   ,  A of Hearts   ]
Round 44    [ A of Diamonds ,  6 of Hearts   ,  6 of Diamonds ,  8 of Clubs    ]
Round 45    [ 5 of Clubs    ,  J of Clubs    ,  Q of Clubs    ,  6 of Spades   ]
Round 46    [ 1 of Diamonds ,  Q of Hearts   ,  4 of Diamonds ,  A of Spades   ]
Round 47    [ 4 of Diamonds ,  J of Hearts   ,  A of Hearts   ,  6 of Spades   ]
Round 48    [ K of Diamonds ,  5 of Hearts   ,  5 of Diamonds ,  6 of Clubs    ]
Round 49    [ 8 of Hearts   ,  8 of Diamonds ,  5 of Hearts   ,  6 of Hearts   ]
Round 50    [ 2 of Hearts   ,  6 of Diamonds ,  7 of Clubs    ,  3 of Diamonds ]
Round 51    [ 6 of Hearts   ,  K of Diamonds ,  9 of Clubs    ,  8 of Hearts   ]
Round 52    [ Q of Spades   ,  5 of Clubs    ,  J of Hearts   ,  J of Clubs    ]
Round 53    [ 5 of Hearts   ,  1 of Spades   ,  J of Diamonds ,  2 of Hearts   ]
Round 54    [ Q of Hearts   ,  5 of Clubs    ,  J of Diamonds ,  K of Hearts   ]
Round 55    [ 4 of Clubs    ,  4 of Diamonds ,  1 of Diamonds ,  7 of Hearts   ]
Round 56    [ A of Spades   ,  5 of Spades   ,  8 of Hearts   ,  9 of Clubs    ]
Round 57    [ 3 of Diamonds ,  K of Diamonds ,  5 of Hearts   ,  8 of Clubs    ]
Round 58    [ 2 of Hearts   ,  7 of Diamonds ,  A of Diamonds ,  4 of Spades   ]
Round 59    [ J of Hearts   ,  A of Spades   ,  7 of Diamonds ,  J of Spades   ]
Round 60    [ 8 of Spades   ,  8 of Clubs    ,  Q of Spades   ,  A of Diamonds ]
Round 61    [ K of Hearts   ,  5 of Spades   ,  9 of Clubs    ,  J of Diamonds ]
Round 62    [ 4 of Clubs    ,  J of Diamonds ,  8 of Hearts   ,  3 of Spades   ]
Round 63    [ Q of Spades   ,  Q of Hearts   ,  1 of Hearts   ,  4 of Hearts   ]
Round 64    [ 2 of Hearts   ,  3 of Clubs    ,  K of Diamonds ,  Q of Diamonds ]
Round 65    [ 8 of Diamonds ,  J of Clubs    ,  2 of Hearts   ,  7 of Clubs    ]
Round 66    [ 4 of Diamonds ,  5 of Hearts   ,  4 of Clubs    ,  1 of Diamonds ]
Round 67    [ Q of Spades   ,  5 of Diamonds ,  1 of Spades   ,  6 of Diamonds ]
Round 68    [ J of Hearts   ,  K of Diamonds ,  9 of Spades   ,  3 of Spades   ]
Round 69    [ 4 of Spades   ,  6 of Diamonds ,  1 of Hearts   ,  8 of Spades   ]
Round 70    [ 1 of Diamonds ,  K of Hearts   ,  1 of Hearts   ,  6 of Clubs    ]
Round 71    [ 4 of Hearts   ,  8 of Spades   ,  2 of Hearts   ,  4 of Diamonds ]
Round 72    [ 4 of Diamonds ,  Q of Hearts   ,  Q of Spades   ,  8 of Hearts   ]
Round 73    [ 7 of Spades   ,  1 of Hearts   ,  6 of Diamonds ,  J of Hearts   ]
Round 74    [ J of Spades   ,  A of Diamonds ,  4 of Spades   ,  8 of Diamonds ]
Round 75    [ A of Diamonds ,  A of Hearts   ,  J of Hearts   ,  7 of Hearts   ]
Round 76    [ 9 of Diamonds ,  J of Spades   ,  A of Spades   ,  6 of Spades   ]
Round 77    [ 9 of Diamonds ,  8 of Clubs    ,  3 of Diamonds ,  5 of Spades   ]
Round 78    [ 2 of Hearts   ,  8 of Hearts   ,  8 of Spades   ,  8 of Diamonds ]
Round 79    [ 3 of Spades   ,  5 of Spades   ,  K of Clubs    ,  J of Diamonds ]
Round 80    [ 4 of Diamonds ,  J of Hearts   ,  K of Clubs    ,  8 of Diamonds ]
